new_street,street
ES DO CORREDOR,Est. do Corredor
VEL PRES ARTHUR DA COSTA E SILVA,Elevado Pres. João Goulart
AV CRUZEIRO DO SUL,Av. Cruzeiro do Sul
AV CUPECE,Av. Cupecê
AV DO CURSINO,Av. do Cursino
R CURUCA,R. Curuçá
AV DANFER,Av. Danfer
AV ALM DELAMARE,Av. Alm. Delamare
AV DEZENOVE DE JANEIRO,Av. 19 de Janeiro
R DIANOPOLIS,R. Dianópolis
AV GAL EDGAR FACO,Av. Gen. Edgar Facó
R DOMINGOS DE MORAIS,R. Domingos de Morais
VD DOMINGOS DE MORAES,Vd. Domingos de Morais
AV DAS NACOES UNIDAS,Av. das Nações Unidas
AV DR EDUARDO COTCHING,Av. Dr. Eduardo Cotching
AV ELLIS MAAS,Av. Ellis Maas
AV CDSSA ELISABETH DE ROBIANO,Av. Condessa Elisabeth de Robiano
AV MARQ DE SAO VICENTE,Av. Marquês de São Vicente
AV ERMANO MARCHETTI,Av. Ermano Marchetti
AV DO ESTADO,Av. do Estado - Pista Central
AV DO ESTADO,Av. do Estado - Pista Dir.
R ESTELA,R. Estela
AV ESTEVAO DE ALBUQUERQUE,Av. Estevão de Albuquerque
R STA EULALIA,R. Santa Eulália
AV EUROPA,Av. Europa
AV EUSEBIO MATOSO,Av. Eusébio Matoso
AV BRIG FARIA LIMA,Av. Brigadeiro Faria Lima
AV REG FEIJO,Av. Regente Feijó
R FREI FIDELIS MOTA,R. Frei Fidélis Mota
R DA FIGUEIRA,R. da Figueira
R FIORELLI PECCICACCO,Av. Fiorelli Peccicacco
R DR FLAVIO AMERICO MAURANO,R. Dr. Flávio Américo Maurano
AV PROF FONSECA RODRIGUES,Av. Prof. Fonseca Rodrigues
AV FRANCISCO MATARAZZO,Túnel Av. Francisco Matarazzo
AV FRANCISCO MATARAZZO,Av. Francisco Matarazzo
AV DR FRANCISCO MESQUITA,Av. Dr. Francisco Mesquita
AV PROF FRANCISCO MORATO,Av. Prof. Francisco Morato
AV CD DE FRONTIN,Av. Conde de Frontin
R FUNCHAL,R. Funchal
AV GAL FURTADO NASCIMENTO,Av. Gen. Furtado do Nascimento
AV S GABRIEL,Av. São Gabriel
AV GABRIELA MISTRAL,Av. Gabriela Mistral
R DO GASOMETRO,R. do Gasômetro
VD GASOMETRO,Vd. do Gasômetro
AV GASPAR VAZ DA CUNHA,Av. Gaspar Vaz da Cunha
AV DR GASTAO VIDIGAL,Av. Dr. Gastão Vidigal
R BRIG GAVIAO PEIXOTO,R. Brig. Gavião Peixoto
AV DR GENTIL DE MOURA,Av. Dr. Gentil de Moura
AV SARG GERALDO SANT ANA,Av. Sarg. Geraldo Santana
R GERIVATIBA,R. Gerivatiba
AV GIOVANNI GRONCHI,Av. Giovanni Gronchi
R GLICERIO,R. do Glicério
R GROENLANDIA,R. Groenlândia
VD GUADALAJARA,Vd. Guadalajara
R GUAICURUS,R. Guaicurus
AV S GUALTER,Av. São Gualter
AV GUAPIRA,Av. Guapira
AV GUARAPIRANGA,Av. Guarapiranga
AV GUILHERME COTCHING,Av. Guilherme Cotching
VD GUILHERME DE ALMEIDA,Vd. Guilherme de Almeida
AV DR GUILHERME DUMONT VILARES,Av. Dr. Guilherme Dumont Villares
AV ENG HEITOR ANTONIO EIRAS GARCIA,Av. Eng. Heitor Antônio Eiras Garcia
R HEITOR PENTEADO,R. Heitor Penteado
AV IBIRAPUERA,Av. Ibirapuera
R IBITIRAMA,R. Ibitirama
R IGUATEMI,R. Iguatemi
R DA INDEPENDENCIA,R. da Independência
AV INDIANOPOLIS,Av. Indianópolis
AV STA INES,Av. Santa Inês
R INHAMBU,R. Inhambú
AV INTERLAGOS,Av. Interlagos
AV IPIRANGA,Av. Ipiranga
AV IPIRANGA,Av. Ipiranga - Pista Esq.
AV IPIRANGA,Av. Ipiranga - Pista Dir.
R ISABEL SCHMIDT,R. Isabel Schmidt
R ITAJOBI,R. Itajobi
ES DE ITAPECERICA,Est. de Itapecerica
R ITAPOLIS,R. Itápolis
AV ADELIA CHOHFI,Av. Adélia Chohfi
R ITUVERAVA,R. Ituverava
AV JABAQUARA,Av. Jabaquara
VD JACAREI,Vd. Jacareí - Pista Esq.
VD JACAREI,Vd. Jacareí
VD JACAREI,Vd. Jacareí - Pista Dir.
AV PIRES DO RIO,Vd. Pires do Rio
AV JAGUARE,Av. Jaguaré
R ATALEIA,R. Ataléia
R JAVORAU,R. Javoraú
R JEROAQUARA,R. Jeroaquara
AV S JOAO,Av. São João
R JOAO ALFREDO,R. João Alfredo
R JOAO BOEMER,R. João Boemer
AV JOAO DIAS,Av. João Dias
PC DR JOAO MENDES,Pç. Dr. João Mendes
ES DOM JOAO NERY,Est. D. João Nery
R JOAO PASSALAQUA,R. João Passaláqua
AV JOAO PEDRO CARDOSO,Av. João Pedro Cardoso
R DR JOAO RIBEIRO,R. Dr. João Ribeiro
AV JOAO SIMAO DE CASTRO,Av. João Simão de Castro
R JOAO TEODORO,R. João Teodoro
AV JOAO XXIII,Av. João XXIII
AV ANTONIO J. DE MOURA ANDRADE,Av. Antônio Joaquim de Moura Andrade
AV JOAQUINA RAMALHO,Av. Joaquina Ramalho
AV PEDRO ALVARES CABRAL,Av. Pedro Álvares Cabral
AV DR JOSE ARTUR NOVA,Av. Dr. José Artur Nova
R JOSE CHIMENTI,R. José Chimenti
AV VER JOSE DINIZ,Av. Ver. José Diniz
AV SEN JOSE ERMIRIO DE MORAES,Av. Sen. José Ermírio de Moraes
R JOSE GUERRA,R. José Guerra
AV PDE JOSE MARIA,R. Pe. José Maria
R JOSE MONTEIRO,R. José Monteiro
R JULIO COLACO,R. Júlio Colaço
R BR DE JUNDIAI,R. Barão de Jundiaí
R JUNQUEIRA FREIRE,R. Junqueira Freire
AV JUNTAS PROVISORIAS,R. das Juntas Provisórias
R JUSTO AZAMBUJA,R. Justo Azambuja
AV LACERDA FRANCO,Av. Lacerda Franco
AV NORDESTINA,Av. Nordestina
ES DO LAGEADO VELHO,Est. do Lageado Velho
ES DAS LAGRIMAS,Est. das Lágrimas
AV MIN LAUDO FERREIRA DE CAMARGO,Av. Min. Laudo Ferreira de Camargo
R DO LAVAPES,R. do Lavapés
R LEAIS PAULISTANOS,R. Leais Paulistanos
VD JULIO DE MESQUITA FILHO,Vd. Júlio Mesquita Filho
AV DA LIBERDADE,Av. da Liberdade
AV LINEU DE PAULA MACHADO,Av. Lineu de Paula Machado
AV LINS DE VASCONCELOS,Av. Lins de Vasconcelos
AV LOURENCO CABREIRA,Av. Lourenço Cabreira
R DOM LUCAS OBES,R. D. Lucas Obes
AV S LUIS,Av. São Luís - Pista Dir.
AV S LUIS,Av. São Luís - Pista Esq.
AV S LUIS,Av. São Luís
R DR LUIZ AYRES,R. Dr. Luís Aires
AV BRIG LUIS ANTONIO,Av. Brig. Luís Antônio
AV ENG LUIZ CARLOS BERRINI,Av. Eng. Luís Carlos Berrini
R LUIS GAMA,R. Luís Gama
AV LUIS STAMATIS,Av. Luís Stamatis
AV PRES JUSCELINO KUBITSCHEK,Av. Pres. Juscelino Kubitschek
R NORMA PIERUCCINI GIANNOTTI,R. Norma Pieruccini Giannotti
AV EMB MACEDO SOARES,Av. Embaixador Macedo Soares
AV MAGALHAES DE CASTRO,Av. Magalhães de Castro
R MAIRINQUE,R. Mairinque
AV MANDAQUI,Av. Mandaqui
AV MONS MANFREDO LEITE,Av. Mons. Manfredo Leite
R MANIFESTO,R. do Manifesto
R MANUEL GAYA,R. Manuel Gaya
AV PROF MANUEL JOSE CHAVES,Av. Prof. Manuel José Chaves
R MANUEL RAMOS PAIVA,R. Manuel Ramos Paiva
R MANUEL DE TEFFE,R. Manuel de Teffé
R MARATONA,R. Maratona
AV MAJ SYLVIO DE MAGALHAES PADILHA,Av. Maj. Sylvio de Magalhães Padilha
AV MARGINAL DIREITA ANCHIETA,V. Anchieta Marg. N
AV MARGINAL ESQUERDA ANCHIETA,V. Anchieta Marg. S
R INACIO LUIS DA COSTA,R. Inácio Luís da Costa
AV CHAFARIZ DAS SARACURAS,Av. Chafariz das Saracuras
AV BARRA DO RIO AZUL,Av. Barra do Rio Azul
AV BANDEIRANTES DO SUL,Av. Bandeirantes do Sul
AV MARIO HABERFELD,Av. Mário Haberfeld
R MARIA AMALIA LOPES AZEVEDO,R. Maria Amália Lopes Azevedo
R MARIA PAULA,R. Maria Paula - Pista Dir.
R MARIA PAULA,R. Maria Paula
R MARIA PAULA,R. Maria Paula - Pista Esq.
AV MARIA COELHO AGUIAR,Av. Maria Coelho Aguiar
AV COMEN MARTINELLI,Av. Comendador Martinelli
R MARTINS FONTES,R. Martins Fontes
AV MATEO BEI,Av. Mateo Bei
AV MATIAS BECK,Av. Matias Beck
R DA MATRIZ,R. da Matriz
LG DA MATRIZ DE NOSSA SENHORA DO O,Lg. da Matriz de N. Sra. do Ó
LG DA MATRIZ VELHA,Lg. da Matriz de N.Sra. do Ó
R MAUA,R. Mauá
R MELO PEIXOTO,R. Melo Peixoto
AV MERCURIO,Av. Mercúrio - Pista Dir.
AV MERCURIO,Av. Mercúrio
AV MERCURIO,Av. Mercúrio - Pista Esq.
AV S MIGUEL,Av. São Miguel
AV MIGUEL FRIAS E VASCONCELOS,Av. Miguel Frias e Vasconcelos
ES DE MOGI DAS CRUZES,Estr. de Mogi das Cruzes
R MONTE PASCAL,R. Monte Pascal
R DA MOOCA,R. da Mooca
AV MORUMBI,Av. Morumbi
AV MORVAN DIAS DE FIGUEIREDO,Ac. Av. Morvan Dias de Figueiredo
AV MORVAN DIAS DE FIGUEIREDO,Pista Central Marg. Tietê
AV MORVAN DIAS DE FIGUEIREDO,Av. Morvan Dias de Figueiredo
AV MUTINGA,Av. Mutinga
AV DOS NACIONALISTAS,Av. dos Nacionalistas
R MAJ NATANAEL,R. Maj. Natanael
AV NAZARE,Av. Nazaré
R DR NETO DE ARAUJO,R. Dr. Neto de Araújo
AV PROF NOE AZEVEDO,Av. Prof. Noé Azevedo
R NORDESTINO,R. Nordestino
R NSRA DA LAPA,R. N. Sra. da Lapa
AV ESCOLA POLITECNICA,Av. Escola Politécnica - Pista Dir.
AV ESCOLA POLITECNICA,Av. Escola Politécnica
AV ESCOLA POLITECNICA,Av. Escola Politécnica - Pista Esq.
AV ESCOLA POLITECNICA,Av. Escola Politécnica - Pista Central
AV ESCOLA POLITECNICA,Av. Escola Politécnica - Pista Lateral
AV NOVA CANTAREIRA,Av. Nova Cantareira
AV NOVE DE JULHO,Av. 9 de Julho
VD NOVE DE JULHO,Vd. 9 de Julho
VD NOVE DE JULHO,Vd. 9 de Julho - Pista Dir.
VD NOVE DE JULHO,Vd. 9 de Julho - Pista Esq.
R COPENHAGUE,R. Copenhague
AV GAL OLIMPIO DA SILVEIRA,Av. Gen. Olímpio da Silveira
AV DO ORATORIO,Av. do Oratório
AV ORDEM E PROGRESSO,Av. Ordem e Progresso
R ORFANATO,R. do Orfanato
R DR OSCAR EGIDIO DE ARAUJO,R. Dr. Oscar Egydio de Araújo
AV OTAVIANO ALVES DE LIMA,Av. Otaviano Alves de Lima
R OTTO DE ALENCAR,R. Otto de Alencar
AV PACAEMBU,Av. Pacaembu
R CAP PACHECO E CHAVES,R. Cap. Pacheco e Chaves
R MAJ PALADINO,R. Maj. Paladino
AV DEP CANTIDIO SAMPAIO,Av. Dep. Cantídio Sampaio
AV PARADA PINTO,Av. Parada Pinto
R PARAPUA,R. Parapuã
R DA PASSAGEM FUNDA,R. da Passagem Funda
AV PREF PASSOS,Av. Pref. Passos
