new_street,street
R JUVENAL GOMES COIMBRA,R. Juvenal Gomes Coimbra
R ANTONIO PATRICIO,R. Antônio Patrício
AV OLAVO FONTOURA,Av. Olavo Fontoura
AV FUAD LUTFALLA,Av. Fuad Lutfalla
R PAINEIRA DO CAMPO,R. Paineira do Campo
PTE CRUZEIRO DO SUL,Ponte Cruzeiro do Sul
R LUIS CARLOS GENTILE DE LAET,R. Luís Carlos Gentile de Laet
R OLIVEIRA FORTES,R. Oliveira Fortes
ES DE PERUS,Est. de Perus
ES STA INES,Est. Santa Inês
R CARMOPOLIS DE MINAS,R. Carmópolis de Minas
R BENEDITO MONTEIRO,R. Benedito Monteiro
PTE ATTILIO FONTANA,Ponte Attílio Fontana
R MANOEL MONTEIRO DE ARAUJO,Av. Manoel Monteiro de Araújo
PTE DO PIQUERI,Ponte do Piqueri
R GIOVANNI DE LUCCA,R. Giovanni de Lucca
PTE ADHEMAR F. DA SILVA,Ponte do Limão
PTE JORN WALTER ABRAHAO,Ponte da Casa Verde
R ROSAS DE OURO,R. Rosas de Ouro
AV MIGUEL CONEJO,Av. Miguel Conejo
PTE FREGUESIA DO O,Ponte Freguesia do Ó
VD ANTARTICA,Vd. Antártica
R JOSE SZAKALL,R. José Szakall
VD PACAEMBU,Vd. Pacaembu
VD GAZETA DO IPIRANGA,Vd. Gazeta do Ipiranga
VD PACHECO E CHAVES,Vd. Cap. Pacheco e Chaves
PTE CARMEN FERNANDES NEVES,Ponte dos Remédios
VD MIGUEL MOFARREJ,Vd. Miguel Mofarrej
R ANDRIES BOTH,R. Andries Both
R ANTOINE BOURDELLE,Marg. Pinheiros
VD DONA MATILDE,Vd. Da. Matilde
ES PIRAJUSSARA-VALO VELHO,Estrada Pirajussara Valo Velho
R ANTONIO MOREIRA,R. Antônio Moreira
R JOAQUIM RIBEIRO,R. Joaquim Ribeiro
R EMBIRA,R. Embira
ES S PAULO-JUNDIAI,Est. São Paulo-Jundiaí
VD STO AMARO,Vd. Santo Amaro
PTE CAIO POMPEU DE TOLEDO,Ponte do Morumbi
LG LOS ANDES,R. Los Angeles
AV DR HUGO BEOLCHI,Av. Dr. Hugo Beolchi
AV JORN ROBERTO MARINHO,Av. Jornalista Roberto Marinho
AC A AV AFFONSO D. TAUNAY,Av. Affonso D Escragnolle Taunay
VD DANTE DELMANTO,Vd. Dante Delmanto
VD DOS BANDEIRANTES,Vd. dos Bandeirantes
VD BRESSER,Vd. Bresser
VD WASHINGTON LUIS,Vd. Washington Luís
PTE STO DIAS DA SILVA,Ponte do Socorro
AV PAULO GUILGUER REIMBERG,Av. Paulo Guilguer Reimberg
VD ENG ORLANDO MURGEL,Vd. Eng. Orlando Murgel
R JOSE JOAQUIM MOREDO,R. José Joaquim Moredo
R PIETRO GIANNOCCARO,R. Pietro Giannoccaro
AV SADAMU INOUE,Av. Sadamu Inoue
R EDUARDO VIANA,R. Eduardo Viana
VD OKUHARA KOEI,Vd. Okuhara Koei
R VINICIUS DE MORAES,R. Vinícius de Moraes
VD ARMANDO PUGLISI,Vd. Armando Puglisi
VD MAEST ALBERTO MARINO,Vd. Maestro Alberto Marino
VD ANTONIO NAKASHIMA,Vd. Antônio Nakashima
VD DR EUSEBIO STEVAUX,Vd. Dr. Eusébio Stevaux
AV RADIAL LESTE-OESTE,Av. Radial Leste-Oeste
AV PAULO VI,Av. Paulo VI
ES VELHA DO BORORE,Est. do Bororé
AV PAST CICERO CANUTO DE LIMA,Av. Pastor Cícero Canuto de Lima
R MELO FREIRE,R. Melo Freire - Pista Lateral
R MELO FREIRE,R. Melo Freire
AV VER JOAO DE LUCA,Av. Ver. João de Luca
AV EMERICO RICHTER,Av. Emérico Richter
ES DO CAMPO LIMPO,Est. do Campo Limpo
R SURAIA AIDAR MENON,R. Profa. Suraia Aidar Menon
R DESEM JOSE GONCALVES SANTANA,R. Des. José Gonçalves Santana
R HELY LOPES MEIRELLES,R. Hely Lopes Meirelles
VD BRIG LUIZ ANTONIO,Vd. Brigadeiro Luiz Antônio
PTE DA CIDADE UNIVERSITARIA,Ponte Cidade Universitária
PTE JOAO DIAS,Ponte João Dias
VD BORGES LAGOA,Vd. Borges Lagoa
VD WANDERLEY TAFFO JUNIOR,Vd. Jabaquara
VD RAIMUNDO PEREIRA DE MAGALHAES,Vd. Raimundo Pereira de Magalhaes
PTE DEP RICARDO IZAR,Ponte Tatuapé
VD VINTE E CINCO DE MARCO,Vd. 25 de Março
PTE HIRANT SANAZAR,Ponte do Jaguaré
PTE PRES DUTRA,Ponte da Vila Maria
VD DO GLICERIO,Vd. Glicério
VD ONZE DE JUNHO,Av. 11 de Junho
VD PIRES DO RIO,Vd. Pires do Rio
VD JACEGUAI,Vd. Jaceguai
VD MERCURIO,Av. Mercúrio
AV MOREIRA GUIMARAES,Av. Moreira Guimarães
AV MOREIRA GUIMARAES,Av. Moreira Guimarães - Pista Lateral
AV GUIDO CALOI,Av. Guido Caloi
ES ENG MARCILAC,Est. Engenheiro Marcilac
AV LUIZ DUMONT VILLARES,Av. Luís Dumont Villares
VD ENG ALBERTO BADRA,Vd. Eng. Alberto Badra
AV MIN PETRONIO PORTELA,Av. Min. Petrônio Portela
VD MIN ALIOMAR BALEEIRO,Vd. Min. Aliomar Baleeiro
VD UNICO GALLAFRIO,Vd. Único Galláfrio
ES DO CIPO,Est. do Cipó
AV NICOLAS BOER,Av. Nicolas Boer
TN JORN ODON PEREIRA,Túnel Jornalista Odon Pereira
VD JOSE BONIFACIO C NOGUEIRA,Vd. José Bonifácio Coutinho Nogueira
AV DR CHUCRI ZAIDAN,Av. Dr. Chucri Zaidan
VD DEP ANTONIO SYLVIO CUNHA BUENO,Vd. Dep. Antonio Silva Cunha Bueno
R PALMORINO MONACO,R. Palmorino Mônaco
VIA PARQUE,Via Parque
TN JORN FERNANDO VIEIRA DE MELLO,Túnel Fernando Vieira de Mello
AV JORN PAULO ZINGG,Av. Jornalista Paulo Zingg
VD STA GENEROSA,Vd. Santa Generosa
AV PRES TANCREDO NEVES,Av. Pres. Tancredo Neves
AV DEP JACOB SALVADOR ZVEIBIL,Av. Dep. Jacob Salvador Zveibil
AV ARQ VILANOVA ARTIGAS,Av. Arquiteto Vilanova Artigas
ES IGUATEMI,Est. Iguatemi
AV VER ABEL FERREIRA,Av. Ver. Abel Ferreira
VD DA CHINA,Av. Prof. Alípio de Barros
AV SEN AURO SOARES DE MOURA ANDRADE,Av. Auro Soares de Moura Andrade
R DR ANTONINO DOS SANTOS ROCHA,R. Dr. Antonino dos Santos Rocha
PTE TRANSAMERICA,Ponte Transamérica
VD HONESTINO MONTEIRO GUIMARAES,Vd. Honestino Monteiro Guimarães
VD SONIA MARIA DE MORAES A. JONES,Vd. Sônia Maria Moraes Angel Jones
VD FREDERICO EDUARDO MAYR,Vd. Frederico Eduardo Mayr
R PAULO LORENZANI,R. Paulo Lorenzani
AV EDUCA PAULO FREIRE,Av. Educador Paulo Freire
PTE BERNARDO GOLDFARB,Ponte Bernardo Goldfarb
VD DONA MORA GUIMARAES,Vd. Da. Mora Guimarães
VD DEP ULISSES GUIMARAES,Vd. Dep. Ulysses Guimarães
AV CARLOS CALDEIRA FILHO,Av. Carlos Caldeira Filho
AV ALBERTO AUGUSTO ALVES,Av. Alberto Augusto Alves
VD AUSTREGESILO DE ATHAYDE,Vd. Austregésilo de Athayde
CV DR EURYCLIDES DE JESUS ZERBINI,Túnel Dr. Euryclídes de Jesus Zerbini
CV MARIA MALUF,Complexo Viário Maria Maluf
TN PRES JANIO QUADROS,Túnel Pres. Jânio Quadros
CV AYRTON SENNA,Túnel Ayrton Senna
CV TRIBUNAL DE JUSTICA DO E SP,Túnel Tribunal de Justiça
AV CHEDIT JAFET,Av. Chedid Jafet
TN SEBASTIAO CAMARGO,Túnel Sebastião Camargo
VD ALBERTO MESQUITA DE CAMARGO,Vd. Prof. Alberto Mesquita de Camargo
AV JACU-PESSEGO N.TRABALHADORES,Av. Jacu-Pêssego
AV PROF TELEMACO H M VAN LANGENDLONCK,Av. Prof. Dr. Telêmaco Hippolyto de Macedo Van Langendonck
PSS TOM JOBIM,Túnel Tom Jobim
PTE JULIO DE MESQUITA NETO,Ponte Júlio de Mesquita Neto
R RACIONALISMO CRISTAO,R. Racionalismo Cristão
VD REPUBLICA DA ARMENIA,Vd. República da Armênia
R PROF GERALDO ATALIBA,R. Prof. Geraldo Ataliba
AV HENRIQUE CHAMMA,Av. Henrique Chamma
AV JOAO DORIA,Av. João Dória
VD DEP LUIS EDUARDO M. DE MAGALHAES,Vd. Luis Eduardo Magalhães
CV JOAO JORGE SAAD,Complexo Viário João Jorge Saad
VD GOV ROBERTO ABREU SODRE,Vd. Gov. Roberto Abreu Sodré
TN DAHER ELIAS CUTAIT,Túnel Dr. Daher Elias Cutait
TN NOITE ILUSTRADA,Túnel Noite Ilustrada
TN JOSE ROBERTO F MELHEM,Túnel José Roberto Fanganiello Melhem
TN TAKEHARU AKAGAWA,Túnel Takeharu Akagawa
TN PAPA JOAO PAULO II,Túnel Papa João Paulo II
AV JAIR RIBEIRO DA SILVA,Av. Jair Ribeiro da Silva
PTE OCTAVIO FRIAS DE OLIVEIRA,Ponte Octávio Frias de Oliveira
VD FRANCISCO NIETO MARTIN,Vd. Francisco Nieto Martin
VD ENG JOAO BIRMAN,Vd. Eng. João Birman
AV RIACHO DOS MACHADOS,Av. Riacho dos Machados
R HENRI BOUCHARD,R. Henri Bouchard
R ALONSO CARBONELL,R. Alonso Carbonell
R GABRIEL FAURE,R. Gabriel Faure
AV ENGENHO NOVO,Av. Engenho Novo
R DOMINGOS MARCHETTI,R. Domingos Marchetti
R OLHO D AGUA DO BORGES,R. Olho D Água do Borges
R RINALDO RIVETTI,R. Rinaldo Rivetti
R VER CID GALVAO DA SILVA,R. Ver. Cid Galvão da Silva
R JOSE FELIX,R. José Félix
R CAREIRO,R. Careiro
R MANOEL VELASCO,R. Manuel Velasco
R ANTONIO ARANHA,Av. Luiz Gushiken
R HELIO DE BARROS,R. Hélio de Barros
R LUIZ OLIVIERI,R. Luiz Olivieri
R POLICARPO DA CRUZ,R. Policarpo da Cruz
R INACIO MONTEIRO,R. Inácio Monteiro
R MOGEIRO,R. Mogeiro
AV TOMAS RABELO E SILVA,Av. Tomás Rabelo e Silva
R REV JOSE DE AZEVEDO GUERRA,R. Reverendo José de Azevedo Guerra
R BRIG HAROLDO VELOSO,R. Brig. Haroldo Veloso
