time_hm,mean,mean_m10,mean_p10
10:00,59.1,53.2,65.1
10:05,52.1,46.9,57.3
10:10,50.6,45.5,55.6
10:15,35.9,32.3,39.5
10:20,26,23.4,28.6
10:25,26.6,23.9,29.2
10:30,40.6,36.6,44.7
10:35,24.5,22.1,27
10:40,13.9,12.5,15.2
10:45,16.1,14.5,17.7
10:50,12.7,11.4,14
10:55,11.2,10.1,12.3
11:00,11.8,10.6,12.9
11:05,16.1,14.5,17.7
11:10,15.6,14,17.1
11:15,13.3,12,14.7
11:20,11.6,10.4,12.7
11:25,10.9,9.8,11.9
11:30,13.2,11.8,14.5
11:35,15.3,13.8,16.8
11:40,4,3.6,4.3
11:45,15.8,14.2,17.3
11:50,18,16.2,19.8
11:55,18.1,16.3,19.9
12:00,12.1,10.9,13.3
12:05,12.9,11.6,14.2
12:10,13.9,12.5,15.3
12:15,13.1,11.8,14.5
12:20,12.9,11.6,14.2
12:25,12.8,11.5,14
12:30,13.2,11.8,14.5
12:35,12.3,11.1,13.5
12:40,9.5,8.5,10.4
12:45,10.1,9.1,11.1
12:50,10.3,9.2,11.3
12:55,9.1,8.2,10
13:00,13.8,12.4,15.1
13:05,13.6,12.2,14.9
13:10,14.6,13.2,16.1
13:15,12.3,11.1,13.6
13:20,12.2,11,13.5
13:25,13,11.7,14.3
13:30,14.1,12.7,15.5
13:35,15.8,14.2,17.4
13:40,13.6,12.2,14.9
13:45,17.7,16,19.5
13:50,12.1,10.9,13.3
13:55,21.2,19,23.3
14:00,21.2,19.1,23.3
14:05,23.7,21.3,26.1
14:10,22.6,20.4,24.9
14:15,18.6,16.8,20.5
14:20,17.5,15.8,19.3
14:25,18.4,16.6,20.2
14:30,20.9,18.8,23
14:35,17.8,16,19.6
14:40,22.7,20.5,25
14:45,16.4,14.8,18
14:50,15.6,14.1,17.2
14:55,22.4,20.2,24.7
15:00,14.3,12.9,15.8
15:05,18.6,16.8,20.5
15:10,25.8,23.2,28.4
15:15,23.4,21,25.7
15:20,27.9,25.1,30.6
15:25,24.3,21.9,26.8
15:30,24.3,21.8,26.7
15:35,25.2,22.7,27.7
15:40,31,27.9,34.1
15:45,25.7,23.1,28.2
15:50,27.5,24.8,30.3
15:55,30.4,27.3,33.4
16:00,28.8,25.9,31.7
16:05,25.4,22.8,27.9
16:10,27.4,24.7,30.1
16:15,23.8,21.4,26.2
16:20,24.6,22.1,27.1
16:25,24.1,21.7,26.5
16:30,29,26.1,31.9
16:35,38,34.2,41.8
16:40,38.9,35,42.8
16:45,39.7,35.7,43.7
16:50,41.7,37.5,45.9
16:55,43.7,39.3,48.1
17:00,41.5,37.4,45.7
17:05,42.5,38.3,46.8
17:10,53.5,48.2,58.9
17:15,49.5,44.6,54.5
17:20,58.3,52.5,64.1
17:25,68.6,61.7,75.5
17:30,83.9,75.5,92.3
17:35,89.1,80.2,98
17:40,78.5,70.6,86.3
17:45,111.9,100.7,123
17:50,123.8,111.4,136.2
17:55,131.4,118.3,144.6
18:00,122.5,110.3,134.8
18:05,117.7,106,129.5
18:10,101.1,91,111.2
18:15,104.8,94.3,115.2
18:20,138.1,124.3,151.9
18:25,132.9,119.6,146.2
18:30,148.6,133.7,163.4
18:35,137.6,123.9,151.4
18:40,117.3,105.6,129
18:45,106.1,95.5,116.8
18:50,93.4,84.1,102.8
18:55,89.7,80.7,98.7
19:00,73.4,66.1,80.8
19:05,66.9,60.2,73.6
19:10,47.2,42.4,51.9
19:15,39.2,35.2,43.1
19:20,34.3,30.9,37.7
19:25,29.3,26.4,32.2
19:30,26.3,23.7,28.9
19:35,27.1,24.3,29.8
19:40,28.3,25.4,31.1
19:45,21.6,19.4,23.7
19:50,17.7,16,19.5
19:55,10.2,9.2,11.2
20:00,4.6,4.2,5.1
20:05,6.1,5.5,6.7
20:10,3.4,3.1,3.8
20:15,2.1,1.9,2.3
20:20,2.2,2,2.5
20:25,2,1.8,2.2
20:30,1.9,1.7,2.1
20:35,2.7,2.4,3
20:40,1.2,1.1,1.4
20:45,1.5,1.3,1.6
20:50,1,0.9,1.1
20:55,0.2,0.2,0.2
21:00,0.4,0.3,0.4
21:05,0.7,0.7,0.8
21:10,0.9,0.8,1
21:15,0.9,0.8,1
21:20,1,0.9,1.1
21:25,1,0.9,1.1
21:30,1.2,1.1,1.3
21:35,1.2,1.1,1.3
21:40,1,0.9,1.1
21:45,1,0.9,1.1
21:50,1,0.9,1.1
21:55,1.7,1.5,1.8
22:00,1.1,1,1.2
22:05,1.1,1,1.2
22:10,1,0.9,1.1
22:15,1,0.9,1.1
22:20,1.1,1,1.2
22:25,0.9,0.8,1
22:30,0.7,0.7,0.8
22:35,0.5,0.5,0.6
22:40,0.7,0.6,0.8
22:45,0.2,0.2,0.2
22:50,0.2,0.2,0.2
22:55,0.7,0.6,0.8
23:00,0.6,0.5,0.7
23:05,0.2,0.2,0.2
23:10,0.2,0.2,0.2
23:15,0.2,0.2,0.2
23:20,0.4,0.3,0.4
23:25,0.4,0.3,0.4
23:30,2.1,1.9,2.3
23:35,2.1,1.9,2.3
23:40,1.9,1.7,2.1
23:45,1.9,1.7,2.1
23:50,1.9,1.7,2.1
23:55,2,1.8,2.2
