time_hm,mean,mean_m10,mean_p10
00:00,5.7,5.2,6.3
00:05,5.3,4.8,5.8
00:10,5.3,4.8,5.8
00:15,2.3,2,2.5
00:20,6.5,5.8,7.1
00:25,6.3,5.7,7
00:30,5.5,5,6.1
00:35,5.3,4.8,5.8
00:40,5.3,4.8,5.8
00:45,5.6,5,6.1
00:50,5.7,5.1,6.3
00:55,5.3,4.8,5.8
01:00,6.2,5.6,6.8
01:05,5.6,5,6.2
01:10,5.5,5,6.1
01:15,5.5,5,6.1
01:20,6.2,5.6,6.9
01:25,5.6,5,6.1
01:30,5.8,5.2,6.3
01:35,5.3,4.8,5.8
01:40,6.1,5.5,6.7
01:45,5.6,5,6.2
01:50,5.6,5,6.2
01:55,6.1,5.5,6.7
02:00,6,5.4,6.7
02:05,5.3,4.8,5.8
02:10,5.6,5,6.1
02:15,5.6,5,6.1
02:20,5.3,4.8,5.8
02:25,5.3,4.8,5.8
02:30,5.5,4.9,6
02:35,6,5.4,6.6
02:40,5.5,5,6.1
02:45,6.5,5.9,7.2
02:50,6.8,6.1,7.5
02:55,8,7.2,8.8
03:00,5.9,5.3,6.5
03:05,5.7,5.1,6.3
03:10,5.3,4.8,5.8
03:15,5.5,4.9,6
03:20,6,5.4,6.6
03:25,6.1,5.5,6.7
03:30,5.7,5.1,6.3
03:35,5.5,4.9,6
03:40,5.3,4.8,5.8
03:45,5.7,5.1,6.2
03:50,5.8,5.2,6.3
03:55,5.8,5.2,6.3
04:00,4.3,3.9,4.7
04:05,4.3,3.9,4.7
04:10,4.5,4.1,5
04:15,5.5,5,6.1
04:20,4.7,4.2,5.1
04:25,4.5,4,4.9
04:30,0.4,0.3,0.4
04:35,0.8,0.7,0.9
04:40,1,0.9,1.1
04:45,1.3,1.2,1.4
04:50,1.2,1,1.3
04:55,0.5,0.5,0.6
05:00,0.6,0.5,0.6
05:05,0.2,0.2,0.2
05:10,1.1,1,1.3
05:15,0.4,0.4,0.4
05:20,0.2,0.2,0.2
05:25,0.8,0.7,0.9
05:30,0.2,0.2,0.2
05:35,1.4,1.3,1.6
05:40,2.6,2.4,2.9
05:45,1.3,1.2,1.5
05:50,1.5,1.4,1.7
05:55,2.2,2,2.5
06:00,5.4,4.8,5.9
06:05,6.9,6.2,7.6
06:10,5.5,5,6.1
06:15,7.2,6.5,8
06:20,8.1,7.3,8.9
06:25,6.3,5.7,6.9
06:30,7,6.3,7.7
06:35,11.2,10.1,12.3
06:40,10.6,9.5,11.6
06:45,15.4,13.8,16.9
06:50,17.2,15.4,18.9
06:55,19.2,17.3,21.2
07:00,15.5,14,17.1
07:05,18.2,16.3,20
07:10,18.3,16.5,20.2
07:15,15.9,14.3,17.5
07:20,28.7,25.8,31.5
07:25,33.6,30.2,36.9
07:30,34.7,31.2,38.1
07:35,36.8,33.1,40.5
07:40,46.1,41.5,50.7
07:45,46.5,41.9,51.2
07:50,57.8,52,63.6
07:55,66.8,60.1,73.4
08:00,63.8,57.4,70.2
08:05,59.9,53.9,65.8
08:10,60.3,54.2,66.3
08:15,52.1,46.9,57.3
08:20,54.2,48.8,59.6
08:25,45.3,40.8,49.8
08:30,57.7,52,63.5
08:35,51.6,46.5,56.8
08:40,52.6,47.4,57.9
08:45,53.6,48.3,59
08:50,59.8,53.8,65.8
08:55,49.2,44.3,54.2
09:00,47.8,43,52.6
09:05,48.3,43.4,53.1
09:10,49.7,44.7,54.7
09:15,43.7,39.3,48.1
09:20,42.1,37.9,46.3
09:25,40.3,36.3,44.3
09:30,40.7,36.6,44.7
09:35,49.9,44.9,54.9
09:40,54.8,49.3,60.3
09:45,53.8,48.5,59.2
09:50,53,47.7,58.3
09:55,51.9,46.7,57.1
