time_hm,mean,mean_m10,mean_p10
17:10,190.7,171.6,209.7
17:15,210.7,189.6,231.7
17:20,237.6,213.8,261.3
17:25,253.2,227.9,278.5
17:30,247.9,223.1,272.7
17:35,265.5,239,292.1
17:40,286.9,258.2,315.5
17:45,301.7,271.6,331.9
17:50,287,258.3,315.7
17:55,283.3,255,311.6
18:00,296.3,266.6,325.9
18:05,307.8,277,338.6
18:10,319.4,287.4,351.3
18:15,348.2,313.4,383.1
18:20,379.7,341.7,417.7
18:25,358.1,322.3,393.9
18:30,364.4,327.9,400.8
18:35,354.8,319.3,390.2
18:40,342.1,307.9,376.3
18:45,321.2,289.1,353.3
18:50,282.7,254.5,311
18:55,242.8,218.5,267.1
19:00,212.7,191.4,233.9
19:05,202,181.8,222.2
19:10,198.1,178.3,218
19:15,174.1,156.7,191.5
19:20,163.9,147.5,180.3
19:25,157.4,141.6,173.1
19:30,139.3,125.3,153.2
19:35,126.8,114.2,139.5
19:40,104.9,94.4,115.4
19:45,95.2,85.7,104.7
19:50,85.3,76.7,93.8
19:55,70.3,63.3,77.3
20:00,45.5,40.9,50
20:05,37.5,33.7,41.2
20:10,27.4,24.6,30.1
20:15,16,14.4,17.6
20:20,17.5,15.7,19.2
20:25,16.2,14.6,17.9
20:30,10.8,9.7,11.9
20:35,7.9,7.1,8.7
20:40,4.9,4.4,5.4
20:45,3.1,2.8,3.4
20:50,2.2,2,2.4
20:55,1,0.9,1.1
21:00,1.6,1.5,1.8
21:05,1.8,1.6,2
21:10,2,1.8,2.2
21:15,2.3,2.1,2.6
21:20,2.2,2,2.5
21:25,3,2.7,3.3
21:30,2.5,2.3,2.8
21:35,3.9,3.5,4.3
21:40,2.5,2.2,2.7
21:45,2,1.8,2.2
21:50,2.2,2,2.4
21:55,3.3,3,3.7
22:00,1.7,1.5,1.9
22:05,2.5,2.3,2.8
22:10,1.8,1.6,2
22:15,2.5,2.2,2.7
22:20,2,1.8,2.2
22:25,2,1.8,2.2
22:30,2.1,1.9,2.3
22:35,2.1,1.9,2.4
22:40,2,1.8,2.2
22:45,0.8,0.7,0.9
22:50,1.2,1.1,1.3
22:55,0.7,0.6,0.8
23:00,0.6,0.5,0.7
23:05,0.4,0.4,0.4
23:10,0.5,0.5,0.6
23:15,0.5,0.5,0.6
23:20,1,0.9,1.1
23:25,1.3,1.2,1.5
23:30,2.1,1.9,2.3
23:35,2.1,1.9,2.3
23:40,2.1,1.9,2.3
23:45,2.5,2.3,2.8
23:50,2.1,1.9,2.4
23:55,2,1.8,2.2
